,Player,Pos,Tm,Age,Tm,AST,STL,BLK,PTS,FG,FGA
135,Antonius Cleveland,SG,DAL,25,DAL,1,1,3,11,4,14
136,Amir Coffey,SG,LAC,22,LAC,14,5,2,58,23,54
137,John Collins,PF,ATL,22,ATL,60,31,66,885,353,605
138,Zach Collins,PF,POR,22,POR,16,5,5,77,32,68
139,Mike Conley,PG,UTA,32,UTA,208,36,5,675,232,567
140,Pat Connaughton,SG,MIL,27,MIL,107,25,31,360,137,301
141,Quinn Cook,PG,LAL,26,LAL,49,12,2,224,91,214
142,Tyler Cook,PF,TOT,22,TOT,1,3,0,23,8,12
143,Tyler Cook,PF,CLE,22,CLE,1,1,0,19,7,10
144,Tyler Cook,PF,DEN,22,DEN,0,2,0,4,1,2
145,Robert Covington,PF-C,TOT,29,TOT,88,115,93,870,305,723
146,Robert Covington,PF,MIN,29,MIN,56,80,45,615,216,496
147,Robert Covington,C,HOU,29,HOU,32,35,48,255,89,227
148,Allen Crabbe,SG,TOT,27,TOT,33,15,4,172,63,177
149,Allen Crabbe,SG,ATL,27,ATL,28,15,4,143,52,143
150,Allen Crabbe,SG,MIN,27,MIN,5,0,0,29,11,34
151,Torrey Craig,SF,DEN,29,DEN,47,23,36,315,124,269
152,Jamal Crawford,SG,BRK,39,BRK,3,0,0,5,2,4
153,Jae Crowder,SF,TOT,29,TOT,161,72,24,684,226,563
154,Jae Crowder,SF,MEM,29,MEM,125,47,14,447,147,399
155,Jae Crowder,SF,MIA,29,MIA,36,25,10,237,79,164
156,Jarrett Culver,SG,MIN,20,MIN,110,57,38,580,230,569
157,Seth Curry,SG,DAL,29,DAL,124,38,9,793,284,574
158,Stephen Curry,PG,GSW,31,GSW,33,5,2,104,33,82
159,Troy Daniels,SG,TOT,28,TOT,17,11,3,200,72,186
160,Troy Daniels,SG,LAL,28,LAL,14,8,3,174,62,158
161,Troy Daniels,SG,DEN,28,DEN,3,3,0,26,10,28
